# dend_id, d_thick, d_len, spine_th, spine_len
10535754 0.196315 560.978126 0.000000 0.000000
2237327 0.194239 211.791700 0.000000 0.000000
2757014 0.191154 501.017388 0.000000 0.000000
2430911 0.190923 279.564421 0.000000 0.000000
11675632 0.190589 227.402061 0.000000 0.000000
11215897 0.189973 430.335897 0.000000 0.000000
12782310 0.189924 575.874741 0.000000 0.000000
5409373 0.189191 1179.016488 0.000000 0.000000
6729956 0.188310 782.656433 0.000000 0.000000
5793428 0.187744 701.159469 0.000000 0.000000
13270310 0.187342 186.107094 0.000000 0.000000
11859879 0.186306 557.772761 0.000000 0.000000
13971679 0.184900 738.098597 0.000000 0.000000
14251799 0.184047 344.488979 0.000000 0.000000
13857985 0.181004 880.172919 0.000000 0.000000
3947599 0.180566 196.302290 0.036819 27.160142
1666438 0.180502 555.312815 0.000000 0.000000
8004799 0.179833 733.468368 0.000000 0.000000
15371843 0.179202 389.360211 0.000000 0.000000
8275499 0.177411 515.696355 0.000000 0.000000
7597712 0.176457 694.097929 0.000000 0.000000
10010752 0.176354 133.773427 0.000000 0.000000
1578745 0.175652 449.320575 0.000000 0.000000
9471446 0.175576 570.085487 0.000000 0.000000
15651604 0.174573 343.199598 0.000000 0.000000
14007967 0.173345 401.573930 0.000000 0.000000
8066773 0.172251 536.559836 0.000000 0.000000
2849063 0.169940 673.454909 0.187030 11.149659
1880267 0.168879 557.997905 0.000000 0.000000
6579816 0.167343 125.227050 0.000000 0.000000
2784415 0.167032 205.347302 0.000000 0.000000
5996226 0.166959 431.444944 0.000000 0.000000
5771265 0.165713 602.853287 0.000000 0.000000
13931652 0.164014 961.611904 0.000000 0.000000
14182172 0.163465 644.953320 0.000000 0.000000
11712295 0.163329 197.958624 1.738217 4.146264
3863999 0.162748 276.906563 0.000000 0.000000
12570277 0.161360 575.043181 0.000000 0.000000
3767640 0.159151 101.550256 0.000000 0.000000
10192938 0.159115 230.943306 0.000000 0.000000
12879566 0.158571 433.649833 0.000000 0.000000
3432293 0.157951 233.604787 2.000000 1.000000
3486413 0.157859 899.607579 0.000000 0.000000
3533249 0.157037 681.682478 0.000000 0.000000
8418321 0.153297 222.815288 0.000000 0.000000
3883460 0.153291 465.443988 0.000000 0.000000
2325018 0.152608 682.081131 1.363961 2.414214
14748900 0.152221 701.433773 0.000000 0.000000
8870850 0.151467 465.722842 0.000000 0.000000
16223836 0.151136 412.549551 0.000000 0.000000
1201624 0.151076 453.927949 0.000000 0.000000
15879670 0.150876 225.765880 0.000000 0.000000
15533573 0.150180 476.751319 0.000000 0.000000
12486462 0.149468 187.637645 0.000000 0.000000
8197798 0.147371 162.157479 0.392837 4.242641
4713985 0.147088 164.558774 0.000000 0.000000
12087226 0.147004 54.790959 0.000000 0.000000
5263789 0.145229 504.070903 0.000000 0.000000
10319568 0.141424 231.241923 0.000000 0.000000
6590425 0.140140 193.895080 0.000000 0.000000
695541 0.139381 433.358767 0.000000 0.000000
9506413 0.137344 165.012677 0.000000 0.000000
7267095 0.136766 203.081046 0.000000 0.000000
4211382 0.135246 209.201785 0.000000 0.000000
10552750 0.133481 156.490657 0.000000 0.000000
8124744 0.132096 217.394538 0.000000 0.000000
2432781 0.130621 499.453458 0.000000 0.000000
1343887 0.130138 492.287213 0.000000 0.000000
10426806 0.129832 643.085256 0.000000 0.000000
14693475 0.124336 969.968188 0.000000 0.000000
12093688 0.123897 440.084520 0.000000 0.000000
9131545 0.123894 114.077613 0.100374 13.535169
7144614 0.121977 665.814256 0.000000 0.000000
6461251 0.117972 594.317401 0.000000 0.000000
11727008 0.117409 61.018993 0.000000 0.000000
15732570 0.116703 702.169966 0.068783 14.538569
999548 0.115261 195.657821 0.000000 0.000000
7435135 0.114118 61.340225 0.000000 0.000000
11797856 0.113363 576.360986 0.000000 0.000000
9881952 0.110872 463.588789 0.000000 0.000000
1226099 0.109118 705.939031 0.050833 33.412756
3162757 0.108888 329.835028 0.000000 0.000000
16002867 0.108093 301.611393 0.023368 57.286427
13550159 0.106470 644.678614 0.022799 57.265762
4943915 0.106270 514.239076 0.123147 9.414214
1136421 0.104886 89.800193 0.000000 0.000000
4064968 0.101089 297.231985 0.000000 0.000000
6113844 0.098309 177.864453 0.000000 0.000000
14634774 0.095967 337.795813 0.000000 0.000000
12654592 0.091705 87.212175 0.000000 0.000000
12663226 0.090656 699.539680 0.000000 0.000000
6197121 0.090521 123.916301 0.000000 0.000000
275658 0.088978 119.841104 0.000000 0.000000
15130606 0.085755 634.079172 0.000000 0.000000
4710112 0.085639 141.302033 0.000000 0.000000
9188080 0.076787 899.768432 0.000000 0.000000
13244029 0.072888 502.743790 0.000000 0.000000
8910464 0.072112 616.669580 0.000000 0.000000
15845094 0.068036 341.623303 0.000000 0.000000
4418267 0.067260 506.017091 0.000000 0.000000
908298 0.063391 492.831351 0.000000 0.000000
12101044 0.058121 477.859845 0.000000 0.000000
7477486 0.058077 252.316891 0.000000 0.000000
6779269 0.057566 370.792148 0.000000 0.000000
10590332 0.036570 101.875399 0.000000 0.000000
